,companyId,companyName,companyTel,districtCd,downFirstTime,downLastTime,endStationId,endStationName,peekAlloc,regionName,routeId,routeName,routeTypeCd,routeTypeName,startMobileNo,startStationId,startStationName,upFirstTime,upLastTime,nPeekAlloc,endMobileNo
0,4106100,제부여객,031-295-7105,2,06:10,22:50,121001315,사당역(중),30,"서울,의왕,화성",233000140,1002,11,직행좌석형시내버스,37932,233001912,전곡항,04:30,21:10,60,
1,4100800,경진여객,031-295-7105,2,06:30,23:40,121000921,강남역나라빌딩앞,50,"서울,의왕,화성",233000326,1006,11,직행좌석형시내버스,36204,233000576,수원대학교,05:30,22:30,70,91200
2,4100300,대원고속,02-455-2114,2,06:10,23:35,123000611,잠실광역환승센터,15,"서울,성남,수원,화성",234000015,1007,11,직행좌석형시내버스,36204,233000576,수원대학교,04:40,22:00,25,
3,4106100,제부여객,031-295-7105,2,06:00,00:00,121001315,사당역(중),30,"서울,의왕,화성",233000125,1008,11,직행좌석형시내버스,55109,233002226,현대기아연구소,05:40,22:40,40,
4,4100300,대원고속,02-455-2114,2,06:15,23:35,123000611,잠실광역환승센터,20,"서울,성남,수원,의왕,화성",234000310,1009,11,직행좌석형시내버스,36216,233001214,수원대학교,04:30,21:45,30,
5,4100300,대원고속,02-455-2114,2,06:20,23:40,121000003,양재역.서초문화예술회관(중),40,"서울,화성",234001138,1551,11,직행좌석형시내버스,36216,233001214,수원대학교,05:10,22:30,50,
6,4100300,대원고속,02-455-2114,2,06:40,00:00,121000009,신분당선강남역(중),40,"서울,화성",234001290,1551B,11,직행좌석형시내버스,36216,233001214,수원대학교,05:30,22:50,50,
7,4100700,경원여객,031-492-2260,2,06:40,00:45,121000974,강남역우리은행,15,"서울,수원,안산,의왕,화성",216000061,3102,11,직행좌석형시내버스,55541,233003145,새솔고,05:10,23:30,30,90259
8,4108600,화성여객,02-455-3114,2,06:10,23:40,101000006,서울역버스환승센터(6번승강장)(중),25,"서울,화성",233000270,4108,11,직행좌석형시내버스,36678,233001448,나루마을.월드반도,05:20,22:40,50,
9,4108600,화성여객,02-455-3114,2,06:20,23:50,121000009,신분당선강남역(중),15,"서울,화성",233000265,4403,11,직행좌석형시내버스,36678,233001448,나루마을.월드반도,05:30,22:50,20,
10,4108600,화성여객,02-455-3114,2,06:00,23:55,121000009,신분당선강남역(중),10,"서울,화성",233000131,6001,11,직행좌석형시내버스,55518,233003122,동탄2차고지,05:10,23:00,30,
